"Wage","Associate's","Bachelor's","Doctorate","High School","Master's","None","GDP per capita","Unemployment"
128000,0,0,1,0,0,0,12578.359,5.35
74000,0,0,0,0,1,0,12578.359,5.35
77000,0,0,1,0,0,0,4358.605,9
91000,0,0,1,0,0,0,12450.6815,3.05
245000,0,0,0,0,0,0,1555.709,7.35
235000,0,0,0,0,0,0,10949.056,5.75
58600,0,0,0,0,1,0,32526.65,3.7
230000,0,0,0,0,0,0,3205.6435,8.5
235019,0,0,0,0,0,0,12518.036,3.7
250000,0,0,0,0,1,0,12578.359,5.35
188219,0,0,0,0,1,0,54580.308,5.35
160992,0,0,0,0,1,0,2806.685,8.6
160000,0,0,0,0,0,1,36684.4655,7.9
102000,0,0,1,0,0,0,47414.5395,3.95
125000,0,0,0,0,1,0,54580.308,5.35
80000,0,0,0,0,1,0,12578.359,5.35
131840,0,0,0,0,1,0,12578.359,5.35
100235,0,0,0,0,1,0,12578.359,5.35
62067,0,1,0,0,0,0,32793.3645,2.8
64584,0,0,0,0,1,0,12578.359,5.35
151100,0,0,0,0,1,0,13832.3245,6.7
83346,0,0,0,0,1,0,12450.6815,3.05
82077,0,0,0,0,1,0,14567.755,3.55
118643,0,0,0,0,1,0,12578.359,5.35
1e+05,0,1,0,0,0,0,14815.049,9.5
135000,0,0,0,0,1,0,12578.359,5.35
80000,0,0,0,0,1,0,32793.3645,2.8
160000,0,0,0,0,1,0,12578.359,5.35
40,0,1,0,0,0,0,54580.308,5.35
120900,0,0,0,0,1,0,32526.65,3.7
118602,0,1,0,0,0,0,56169.5465,7.6
150000,0,0,0,0,1,0,12578.359,5.35
194000,0,0,0,0,1,0,12450.6815,3.05
167710,0,0,1,0,0,0,12578.359,5.35
164800,0,1,0,0,0,0,54580.308,5.35
150000,0,0,0,0,1,0,12578.359,5.35
206200,0,1,0,0,0,0,12450.6815,3.05
120931,0,0,0,0,1,0,4157.4145,7.25
119000,0,0,1,0,0,0,12578.359,5.35
150000,0,0,0,0,1,0,12578.359,5.35
121160,0,0,0,0,1,0,12578.359,5.35
184080,0,0,0,0,1,0,12578.359,5.35
133600,0,0,0,0,1,0,12578.359,5.35
